#AIDA Gains generated on 2021-08-09 10:54:07.438183
#!DSSD
# DSSD X/Y STRIP GAIN
0 X 0 0.7022136700400754
0 X 1 0.6939044607178043
0 X 2 0.6976867881777393
0 X 3 0.6950058692822518
0 X 4 0.69241975133361
0 X 5 0.6984095191802651
0 X 6 0.6885326547054503
0 X 7 0.6919967833690198
0 X 8 0.6977759644900623
0 X 9 0.6966873297324558
0 X 10 0.691315059399666
0 X 11 0.6921406705313126
0 X 12 0.6956361228289352
0 X 13 0.691652896239078
0 X 14 0.6950970866333911
0 X 15 0.6936065160615467
0 X 16 0.6915011456287785
0 X 17 0.6941457070155532
0 X 18 0.6947775275447949
0 X 19 0.6929461114867194
0 X 20 0.6924626768743717
0 X 21 0.6952957273438641
0 X 22 0.6921659984731477
0 X 23 0.7001110504464858
0 X 24 0.6945393845152478
0 X 25 0.6973055093273167
0 X 26 0.6930040961963806
0 X 27 0.6929452894183754
0 X 28 0.6827499723984253
0 X 29 0.6915620001116835
0 X 30 0.6918631042630231
0 X 31 0.6878429725101065
0 X 32 0.6950931057444242
0 X 33 0.6962199050066102
0 X 34 0.695886868766583
0 X 35 0.6883691466293662
0 X 36 0.6968282945613136
0 X 37 0.6913080333334303
0 X 38 0.6913174175288525
0 X 39 0.6933167079960258
0 X 40 0.6871114810228505
0 X 41 0.6810622927527847
0 X 42 0.6930230176287056
0 X 43 0.6906102151908494
0 X 44 0.6926806899596064
0 X 45 0.6931519474575185
0 X 46 0.6945986825994969
0 X 47 0.6969418444727371
0 X 48 0.6933138005338036
0 X 49 0.6918233514575267
0 X 50 0.6946438459754202
0 X 51 0.6938252303074632
0 X 52 0.6920302342752728
0 X 53 0.6939707354062141
0 X 54 0.6911846181117889
0 X 55 0.6948507212623005
0 X 56 0.6941726334547492
0 X 57 0.6915414104400146
0 X 58 0.6904909162952408
0 X 59 0.6949120938371212
0 X 60 0.6943279097192123
0 X 61 0.6917987762925673
0 X 62 0.693005786383812
0 X 63 0.6915295998960976
0 X 64 0.6937542056412356
0 X 65 0.6944532601762794
0 X 66 0.6960499826044793
0 X 67 0.6928106355212377
0 X 68 0.6968276386129563
0 X 69 0.6909025415281438
0 X 70 0.693176247033571
0 X 71 0.6971027290487742
0 X 72 0.6976686313387571
0 X 73 0.6947488270187311
0 X 74 0.6942674120443051
0 X 75 0.7002392802338521
0 X 76 0.6944377840180298
